Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
CoderDojo	1	@	@	1	@	@	@	@	@	7	18	20	24	28	@	@	@	
100 Girls of Code	0	@	@	1	@	@	@	@	@	13	18	28	@	@	@	@	@	
Breakout Mentors	1	@	@	1	@	@	@	@	@	19	27	28	@	@	@	@	@	
Black Girls Code	0	2	@	1	@	@	@	@	@	4	20	28	@	@	@	@	@	
Adventures in Programming Made by Girls	1	@	@	1	@	@	@	@	@	26	28	@	@	@	@	@	@	
YWiC Alum Middle School Summer Camp	0	@	@	1	@	@	@	@	@	5	21	29	@	@	@	@	@	
Code Central Station: Tinker with Tynker	1	@	@	1	@	@	@	@	@	66	@	@	@	@	@	@	@	
Coding for Coders	1	@	@	1	@	@	@	@	@	72	@	@	@	@	@	@	@	
Hacking the Digital World through Web Design, Digital Imaging, and Geographic Information Systems	2	@	@	1	@	@	@	@	@	72	@	@	@	@	@	@	@	
ROVing Robotics: Exploring the Technology of Unmanned Vehicles	1	@	@	1	@	@	@	@	@	72	@	@	@	@	@	@	@	
Technology Day Camp	3	@	@	1	@	@	@	@	@	72	@	@	@	@	@	@	@	
